METRIC,REDUND_MET
AMPHNTAX,"AMPHPTAX,CRUSNTAX"
AMPHPIND,
AMPHPTAX,"CRUSPTAX,AMPHNTAX"
BCGatt2.3,"X.EPT45,gregTol_.EPT45,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,NTOLNTAX,NTOLPTAX,TL45NTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
BCGatt5,"STOLNTAX,gregTol_STOLNTAX,gregTol_BCGatt5"
BURRNTAX,BURRPTAX
BURRPIND,
BURRPTAX,BURRNTAX
CHIRDOM1PIND,"CHIRNTAX,CHIRDOM3PIND,CHIRDOM5PIND"
CHIRDOM3PIND,"CHIRNTAX,CHIRDOM1PIND,CHIRDOM5PIND"
CHIRDOM5PIND,"CHIRNTAX,CHIRDOM1PIND,CHIRDOM3PIND"
CHIRNTAX,"CHIRDOM1PIND,CHIRDOM3PIND,CHIRDOM5PIND"
CHIRPIND,"DIPTPIND,X.Chiro,gregTol_.Chiro"
CHIRPTAX,
CLMBNTAX,CLMBPTAX
CLMBPIND,
CLMBPTAX,CLMBNTAX
CLNGNTAX,"EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX"
CLNGPIND,"X.Clinger.HS,gregTol_.Clinger.HS"
CLNGPTAX,
COFINTAX,COFITRICNTAX
COFIPIND,COFITRICPIND
COFIPTAX,
COFITRICNTAX,COFINTAX
COFITRICPIND,"TRICPIND,COFIPIND"
COFITRICPTAX,
COGANTAX,
COGAPIND,
COGAPTAX,
CRUSNTAX,"CRUSPTAX,AMPHNTAX"
CRUSPIND,
CRUSPTAX,"AMPHPTAX,CRUSNTAX"
DIPTNTAX,
DIPTPIND,"CHIRPIND,X.Chiro,gregTol_.Chiro"
DIPTPTAX,
DOM1PIND,"HPRIME,DOM3PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
DOM3PIND,"HPRIME,DOM1PIND,DOM5PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
DOM5PIND,"HPRIME,DOM3PIND,Genus..2.Dominant,gregTol_Genus..2.Dominant"
Elmid,gregTol_Elmid
EPHENTAX,"EPHEPTAX,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa"
EPHEPIND,"X.Ephem,X.Ephem.B,gregTol_.Ephem,gregTol_.Ephem.B"
EPHEPTAX,EPHENTAX
EPOTNTAX,"EPOTPTAX,TOTLNTAX,EPHENTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
EPOTPIND,"EPT_PIND,X.EPT.H.C,gregTol_.EPT.H.C"
EPOTPTAX,"EPT_PTAX,X.EPT65,gregTol_.EPT65,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa"
EPT_NTAX,"EPOTPTAX,EPT_PTAX,X.EPT65,gregTol_.EPT65,TOTLNTAX,EPHENTAX,EPOTNTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
EPT_PIND,"EPOTPIND,X.EPT.H.C,gregTol_.EPT.H.C"
EPT_PTAX,"EPOTPTAX,X.EPT65,gregTol_.EPT65,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3"
FACLNTAX,"TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,CLNGNTAX"
FACLPIND,"TOLRPIND,gregTol_FACLPIND,gregTol_TOLRPIND"
FACLPTAX,"NTOLPTAX,TL45PTAX,TOLRPTAX,gregTol_FACLPTAX,gregTol_NTOLPTAX,gregTol_TOLRPTAX,X.BCG_TNTP_att5,X.BCG_totHab_att5,X.BCG_pctIMP_att5,gregTol_.BCG_TNTP_att5,gregTol_.BCG_totHab_att5,gregTol_.BCG_pctIMP_att5"
Genus..2.Dominant,"HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,gregTol_Genus..2.Dominant"
Genus.EPT.Taxa,"EPOTPTAX,EPT_PTAX,X.EPT65,gregTol_.EPT65,TOTLNTAX,EPHENTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
Genus.HBI,"NTOLPIND,TL45PIND,WTD_TV,gregTol_NTOLPIND,gregTol_WTD_TV,gregTol_Genus.HBI"
Genus.Total.Taxa,"TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,HPRIME"
gregTol_.BCG_Acidity_att2.3,X.BCG_Acidity_att2.3
gregTol_.BCG_Acidity_att5,X.BCG_Acidity_att5
gregTol_.BCG_Alkalinity_att2.3,X.BCG_Alkalinity_att2.3
gregTol_.BCG_Alkalinity_att5,X.BCG_Alkalinity_att5
gregTol_.BCG_Chloride_att2.3,"EPT_PTAX,X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
gregTol_.BCG_Chloride_att5,X.BCG_Chloride_att5
gregTol_.BCG_DO_att2.3,"X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
gregTol_.BCG_DO_att5,"X.BCG_DO_att5,X.BCG_totHab_att5,gregTol_.BCG_totHab_att5"
gregTol_.BCG_pctIMP_att2.3,"EPT_PTAX,X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att5"
gregTol_.BCG_pctIMP_att5,"X.EPT65,gregTol_.EPT65,FACLPTAX,NTOLPTAX,STOLPTAX,TOLRPTAX,gregTol_NTOLPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCG_Chloride_att2.3,X.BCG_TNTP_att5,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att2.3"
gregTol_.BCG_RBS_att2.3,X.BCG_RBS_att2.3
gregTol_.BCG_RBS_att5,X.BCG_RBS_att5
gregTol_.BCG_spCond_att2.3,"X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_Chloride_att2.3"
gregTol_.BCG_spCond_att5,X.BCG_spCond_att5
gregTol_.BCG_Sulfate_att2.3,X.BCG_Sulfate_att2.3
gregTol_.BCG_Sulfate_att5,X.BCG_Sulfate_att5
gregTol_.BCG_TNTP_att2.3,"X.EPT45,gregTol_.EPT45,X.BCGatt2.3,X.BCG_TNTP_att2.3,gregTol_.BCGatt2.3"
gregTol_.BCG_TNTP_att5,"FACLPTAX,STOLPTAX,TOLRPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCGatt5,X.BCG_TNTP_att5,X.BCG_pctIMP_att5,gregTol_.BCGatt5,gregTol_.BCG_pctIMP_att5"
gregTol_.BCG_totHab_att2.3,"X.EPT45,gregTol_.EPT45,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_Chloride_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3"
gregTol_.BCG_totHab_att5,"NOINPTAX,FACLPTAX,X.BCG_DO_att5,X.BCG_totHab_att5,gregTol_.BCG_DO_att5"
gregTol_.BCGatt2.3,"X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_TNTP_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_TNTP_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
gregTol_.BCGatt5,"STOLPTAX,gregTol_STOLPTAX,X.BCGatt5,X.BCG_TNTP_att5,gregTol_.BCG_TNTP_att5"
gregTol_.Chiro,"CHIRPIND,DIPTPIND,X.Chiro"
gregTol_.Clinger.HS,"CLNGPIND,X.Clinger.HS"
gregTol_.Collector,X.Collector
gregTol_.Ephem,"EPHEPIND,X.Ephem,X.Ephem.B,gregTol_.Ephem.B"
gregTol_.Ephem.B,"EPHEPIND,X.Ephem,X.Ephem.B,gregTol_.Ephem"
gregTol_.EPT.H.C,"EPOTPIND,EPT_PIND,X.EPT.H.C"
gregTol_.EPT45,"X.EPT45,X.EPT65,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_TNTP_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_TNTP_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
gregTol_.EPT65,"EPOTPTAX,EPT_PTAX,X.EPT45,X.EPT65,gregTol_.EPT45,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,NTOLPTAX,gregTol_NTOLPTAX,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
gregTol_.GenusScraper,"SCRPPIND,X.GenusScraper"
gregTol_.PT...Hydropsychidae,X.PT...Hydropsychidae
gregTol_BCGatt2.3,"X.EPT45,gregTol_.EPT45,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,NTOLNTAX,NTOLPTAX,TL45NTAX,gregTol_NTOLNTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
gregTol_BCGatt5,"STOLNTAX,gregTol_STOLNTAX,BCGatt5"
gregTol_Elmid,Elmid
gregTol_FACLNTAX,"TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,CLNGNTAX"
gregTol_FACLPIND,"FACLPIND,TOLRPIND,gregTol_TOLRPIND"
gregTol_FACLPTAX,"FACLPTAX,TL45PTAX,TOLRPTAX,gregTol_TL45PTAX,gregTol_TOLRPTAX"
gregTol_Genus..2.Dominant,"HPRIME,DOM1PIND,DOM3PIND,DOM5PIND,Genus..2.Dominant"
gregTol_Genus.EPT.Taxa,"EPOTPTAX,EPT_PTAX,X.EPT65,gregTol_.EPT65,TOTLNTAX,EPHENTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
gregTol_Genus.HBI,"NTOLPIND,TL45PIND,WTD_TV,gregTol_NTOLPIND,gregTol_WTD_TV,Genus.HBI"
gregTol_Genus.Total.Taxa,"TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLNTAX,gregTol_TL45NTAX,HPRIME"
gregTol_INTLNTAX,"TL23NTAX,TL23PTAX,gregTol_INTLPTAX,gregTol_TL23NTAX,gregTol_TL23PTAX"
gregTol_INTLPIND,TL23PIND
gregTol_INTLPTAX,"TL23NTAX,TL23PTAX,gregTol_INTLNTAX,gregTol_TL23PTAX"
gregTol_NTOLNTAX,"TOTLNTAX,EPOTNTAX,EPT_NTAX,Genus.Total.Taxa,Genus.EPT.Taxa,gregTol_Genus.Total.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,NTOLPTAX,TL45NTAX,gregTol_FACLNTAX,gregTol_NTOLPTAX,gregTol_TL45NTAX,BCGatt2.3,gregTol_BCGatt2.3,CLNGNTAX"
